Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     

std::__1::ba,this        @0x0:0x6405	          29	         107	     0.27103	           2	           2	     1.00000
std::__1::ct,this        @0x0:0x6461	          14	          21	     0.66667	           1	           2	     0.50000
std::__1::ct,__c         @0x0:0x646e	           9	          21	     0.42857	           1	           2	     0.50000
lambdaNoCap(,m           @0x0:0x61bb	          48	         103	     0.46602	           4	           6	     0.66667
lambdaNoCap(,n           @0x0:0x61ca	          85	         103	     0.82524	           4	           6	     0.66667
lambdaNoCap(,this        @0x0:0x622a	          10	          10	     1.00000	           2	           2	     1.00000
lambdaNoCap(,a           @0x0:0x6235	           2	          10	     0.20000	           1	           2	     0.50000
lambdaNoCap(,b           @0x0:0x6244	          10	          10	     1.00000	           2	           2	     1.00000
lambdaRefCap,m           @0x0:0x6342	         121	         121	     1.00000	           8	           8	     1.00000
lambdaRefCap,n           @0x0:0x6350	          95	         121	     0.78512	           5	           8	     0.62500
std::__1::ba,__os        @0x0:0x41a1	          63	          63	     1.00000	           4	           4	     1.00000
lambdaRefCap,this        @0x0:0x63ba	          21	          21	     1.00000	           3	           3	     1.00000
lambdaRefCap,a           @0x0:0x63c5	          21	          21	     1.00000	           3	           3	     1.00000
std::__1::ct,__l         @0x0:0x41e0	          18	          18	     1.00000	           2	           2	     1.00000
std::__1::ba,this        @0x0:0x630c	           8	           8	     1.00000	           1	           1	     1.00000
std::__1::ba,__pf        @0x0:0x6319	           8	           8	     1.00000	           1	           1	     1.00000

params	         213	         318	     0.66981	          23	          26	     0.88462
vars	         349	         448	     0.77902	          21	          28	     0.75000
all	         562	         766	     0.73368	          44	          54	     0.81481
